Job Title,Company,Loaction,PostDate,CurrentDate,Summary,Salary,Joburl
PHP WEB DEVELOPER,Spectrum Softtech Solutions Pvt. Ltd.,"Kochi, Kerala",30+ days ago,"June 16, 2021","Feel free to contact us for any further clarification int his regard Contact Recruitment Division PH: +91-484-4082111, +91-9895682000, mail : arun_2285@spectrum.net…",,https://in.indeed.com/rc/clk?jk=9150e65f47a89b66&fccid=42a2acf473393d72&vjs=3
Application Developer,Manappuram Comptech and Consultants,"Trichur, Kerala",30+ days ago,"June 16, 2021","Candidates with experience between 1-14 years in Application Development with good hands on exposure in ASP.net,Web forms,API,MVC,C#, SQL etc. Strong Data base knowledge is an added advantage.",,https://in.indeed.com/rc/clk?jk=ff3c7d5361dd48e7&fccid=bf9d8b75d350d430&vjs=3
Full Stack Developer (m/f/d),EQS Group,"Kochi, Kerala",30+ days ago,"June 16, 2021","Proficient in using modern PHP application frameworks (Symfony, Laravel). EQS Group’s products are pooled in the cloud-based software EQS COCKPIT. They ensure the professional control of compliance…",,https://in.indeed.com/rc/clk?jk=6be3810d517fec64&fccid=1362743f993720f1&vjs=3
"Senior .Net Developer, 4+ yrs Exp, TRIVANDRUM_TECHNOPARK",Mantis HR Consulting,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Participate in technical design and code reviews for all new enhancements and maintenance work delivered. Understand business and functional requirements and produce technical specifications and…,"₹3,00,000 - ₹6,00,000 a year",https://in.indeed.com/rc/clk?jk=517b6deeaa8e94ba&fccid=d40a7a671145b733&vjs=3
Python Developer 2 - 5 years of experience,Zine Mind,"Kochi, Kerala",30+ days ago,"June 16, 2021",Has experience working on highly scalable applications. Familiarity with front-end technologies (like JavaScript and HTML5. Ideal candidate should have minimum 1 - 5 years of experience in Java/J2EE.,,https://in.indeed.com/rc/clk?jk=4adb85a59a000c03&fccid=6fbc0dce27621c6c&vjs=3
Senior PHP Developer,Hardesen Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Responsibilities include building strong relationships with stakeholders to create a long-term strategic roadmap for Drupal applications; overseeing and setting priorities for internal and external…,,https://in.indeed.com/rc/clk?jk=2655c1641ac98bc4&fccid=d7434287b0ca5daa&vjs=3
SE/SSE- Android Developer,ThinkPalm Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Experience for developing applications for multiple target devices with different screen resolutions and OS versions. Hands-on experience using Coroutines, FlowGood attitude and willing to learn.",,https://in.indeed.com/rc/clk?jk=4c58f5578a006664&fccid=121dbd0f35f85fab&vjs=3
Principal Software Developer,Nielsen,"Kochi, Kerala",10 days ago,"June 16, 2021","Works with the Product Owner to understand, refine & find the right solution to a business use case. Defines technical use cases corresponding to business requirements that are comprehensive from a…",,https://in.indeed.com/rc/clk?jk=8656dd50444c79f7&fccid=683f563b5cc25b70&vjs=3
Developer - Qt,mindcurv,"Kochi, Kerala",30+ days ago,"June 16, 2021","Assist with the technical design, using object-oriented design techniques. Maintain current technical knowledge to support rapidly changing technology, being always on a lookout for relevant new…",,https://in.indeed.com/rc/clk?jk=65f9fa9e4c80d1f5&fccid=62c68433419cb874&vjs=3
ReactJS Developer,Nuvento systems,"Kochi, Kerala",30+ days ago,"June 16, 2021","Developing new user-facing features using React.js. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.",,https://in.indeed.com/rc/clk?jk=6631d940d5f6c6a3&fccid=035c4866a9cc42e8&vjs=3
Senior C++ Developer,Kefas Softwares Private Ltd,"Ernakulam, Kerala",30+ days ago,"June 16, 2021","Should be able to use template (meta-programming and other) techniques and features with ease. Proficient in databases, familiarity with PostGres is a plus. Bachelor Of Technology (B.Tech/B.E).","₹15,00,000 - ₹35,00,000 a year",https://in.indeed.com/rc/clk?jk=522fe2f3e98fb9fe&fccid=7e7c4e6f49c39d81&vjs=3
J2EE Developer,Desirous Global Consulting,"Kochi, Kerala",30+ days ago,"June 16, 2021",Should be able to apply design patterns and integration with other systems. Strong experience in developing JEE web applications. Good Experience in Spring Framework. RESTful API coding and concepts.,,https://in.indeed.com/rc/clk?jk=6c0ae1017ff39435&fccid=c5245f5d1bd1135f&vjs=3
Frontend Developer,Calpine Group,"Kochi, Kerala",30+ days ago,"June 16, 2021","Experience with Angular 5+ Experience with testing framework such as Jasmine and Karma Advanced proficiency in TypeScript, HTML5 and Responsive Web Design Experience with SCSS Experience with build…",,https://in.indeed.com/rc/clk?jk=1096ef8a1051bbc0&fccid=b6c30111840620e9&vjs=3
Front-end developer,LiteBreeze,"Kochi, Kerala",30+ days ago,"June 16, 2021","Aware of JavaScript design patterns and can architect a fairly complex UI. Minimum 3 years experience with Angular, Vue.js or React.js. Good understanding of single-page web applications.",,https://in.indeed.com/rc/clk?jk=71c460566df36a94&fccid=c403e6c2b4319bdf&vjs=3
Trainee Software Test Engineer,QAWebPrints Info Solutions,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Database testing (SQL server) knowledge is an advantage. Must have excellent oral and written communication skills in English. 0 to 1 years of experience in Manual Testing.,,https://in.indeed.com/rc/clk?jk=40b9bc6b187e483c&fccid=f5d902987e55a095&vjs=3
Developer I - Enterprise Solutions,UST Global Singapore Pte Limited,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Learn the technology thoroughly and start developing applications (of low effort and complexity) in assigned area of responsibility on ERP/CRM system; under regular supervision of a senior developer.,,https://in.indeed.com/rc/clk?jk=f73edc8544f1a481&fccid=810178099fb1fcbc&vjs=3
WordPress Developer,Seamedia,"Calicut, Kerala",30+ days ago,"June 16, 2021","In addition, an understanding of the entire web development process, including design, development and deployment, with some backend knowledge, is preferred. Building wordpress theme from scratch.","₹30,000 a month",https://in.indeed.com/rc/clk?jk=390d8fae0687afbb&fccid=9f445ce91b406f5c&vjs=3
Application Developer – Android,HiFX IT & Media Services,"Kochi, Kerala",30+ days ago,"June 16, 2021","Ensure the performance, quality and responsiveness of applications. Collaborate with cross-functional teams to define, design and ship new features. Collaborate with a team to define, design and ship…",,https://in.indeed.com/rc/clk?jk=8f48de2781690bc3&fccid=4b114c8150a9a6ad&vjs=3
Software Developer,skilora,"Kochi, Kerala",13 days ago,"June 16, 2021","Wide interest in technology and software systems. Knowledge of system design and requirement analysis. Knowledge of integrating and developing web services (REST, WCF).",,https://in.indeed.com/rc/clk?jk=dcdb8c0feddc6673&fccid=f74c40d50fb54046&vjs=3
Senior Software Engineer - .NET,Marvylogic,"Kochi, Kerala",30+ days ago,"June 16, 2021","Passionate about building high-quality systems with software implementation best practices. 3-6 years (B.Tech/BE/MCA or MSc in Computer Science)Cochin. NET Framework 3.5/4.0/4.5, C#.",,https://in.indeed.com/rc/clk?jk=40291aa634a800d4&fccid=561cb7ec024d2a21&vjs=3
PHP Developer,Masala Box,"Kochi, Kerala",30+ days ago,"June 16, 2021","Ideally, we want someone who has 1+ years of experience with back-end development experience as well as front-end work with Javascript, HTML, Bootstrap and CSS. Candidates with 1+ years of experience.",,https://in.indeed.com/rc/clk?jk=9c62698960e99792&fccid=535d90a182175362&vjs=3
PHP Developer - Laravel,Vadizen Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Job Profile - Logical ability to develop and enhance websites, web applications in PHP or CMS platforms. Developing and maintaining dynamic web applications in PHP. Skills - Deep knowledge in PHP.",,https://in.indeed.com/rc/clk?jk=bd044cee2c8eb944&fccid=17a89299a0076954&vjs=3
Senior Software Engineer - .NET,Cabot,"Kochi, Kerala",30+ days ago,"June 16, 2021","Ensure the performance, quality, and responsiveness of applications. Experience with popular web application frameworks. Design, develop and debug apps using . Expert in working with .",,https://in.indeed.com/rc/clk?jk=1f5d79ebe2da2148&fccid=75929a410097a9db&vjs=3
C#.Net/WPF- Referral,QuEST Global Engineering,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Software Developer experience in developing C#/WPF applications in Windows. Solid understanding of Object-Oriented design and concepts. Write effective and reusable code according to best practices.,,https://in.indeed.com/rc/clk?jk=2d384cec69e55880&fccid=ad3813e46e9342cd&vjs=3
Programmer,Xtend Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Experience in VB/C++/Linux based project is an added advantage. Requirements: Fresher/Experienced candidates having knowledge and development experience in C, C++, VB is preferred.",,https://in.indeed.com/rc/clk?jk=7e39d3558ba9a15c&fccid=bd2c5b1d2c4c1961&vjs=3
Php Developer,riolabz,"Kochi, Kerala",30+ days ago,"June 16, 2021","Knowledge in javascript will be an added advantage. Preparing wireframes and project timelines for upcoming products and service packages. Knowledge in front-end technologies (HTML5, JQuery, CSS3) is…","₹35,000 - ₹50,000 a month",https://in.indeed.com/rc/clk?jk=9c936780524233ef&fccid=d8cb97c41125947d&vjs=3
HTML Developer - @Kochi,Jobsnta,"Ernakulam, Kerala",30+ days ago,"June 16, 2021","Write well designed, testable, efficient code by using best software development practices. Experience with Photoshop, Illustrator, invision, figma, or other graphic design and layout tools.",,https://in.indeed.com/rc/clk?jk=06250a9c97f24e6f&fccid=6a78037dc82a5dc7&vjs=3
Software Test Engineer,Armia Systems Inc.,"Kochi, Kerala",30+ days ago,"June 16, 2021","Analyze all customer requirements and provide appropriate and accurate tested software and coordinate with customer services, project management to implement all projects.",,https://in.indeed.com/rc/clk?jk=c4ebe63d81e35c2c&fccid=da046ff4ece0052f&vjs=3
Java Developer-Cochin,ThinkPalm Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Frameworks Spring Boot, Spring MVC, Spring Data, Junit. Database PostgreSQL, Cassandra DB (Or experience with any RDBMS / NOSQL DB). Operating Systems Windows, Linux, Unix.",,https://in.indeed.com/rc/clk?jk=6dd354ce85ae0acb&fccid=121dbd0f35f85fab&vjs=3
Full Stack Developer,Mejora Jobs And Education,"Calicut, Kerala",30+ days ago,"June 16, 2021",Job Description : Full Stack Developer Location: Calicut Company Type: Cyber Park Qualification: B.Tech IT Experience: 1-4 years Salary: 15k-25k 0.00-50.00…,"₹15,000 - ₹25,000 a month",https://in.indeed.com/rc/clk?jk=b53f59599fdc68f7&fccid=83540646dd994ddf&vjs=3
.Net Developer with Aufait @ Cochin/Trivandrum,Aufait technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Should have experience in Development of SPA (Single Page Application).,,https://in.indeed.com/rc/clk?jk=4d46d4540e25e3cd&fccid=ac1b2e80b54c5ab7&vjs=3
Web/Front End Developer,Crafting Edge Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Assure that all user input is validated before submitting to back-end. Develop new user-facing features. Build responsive, single page frontend apps using a modern framework (Angular, Ember, React, …)…",,https://in.indeed.com/rc/clk?jk=507a76e2d57c7a42&fccid=c1848acdb02b3bd7&vjs=3
Android Application Developer,D-inventions Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes -Strong knowledge of OOPs & core java Strong knowledge of Android UI design principles,…",,https://in.indeed.com/rc/clk?jk=99e3bd3631103041&fccid=1db335ffe9633221&vjs=3
Senior Software Engineer-Angular,Fingent,"Kochi, Kerala",30+ days ago,"June 16, 2021","Writing extensive unit tests using automated TDD tasks. Familiar with testing frameworks Jasmine, Karma is an advantage. Capability to manage one or more project.",,https://in.indeed.com/rc/clk?jk=11fef70592f065a0&fccid=b67bb5442ac9dbdc&vjs=3
Senior C++ Developer,SCSoft Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Keep close relationship to project managers, customers and other team. Knowledge in BOOST or ACE is an added advantage. Experience and knowledge in electronic payments, payment terminal devices, EMV…",,https://in.indeed.com/rc/clk?jk=2fdff7de4c287be7&fccid=0e611b89c4869300&vjs=3
Software Engineer – Drupal,PiServe Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","RoleResponsible for creating APIs, designing and developing web applications using Drupal. Self-starter with the ability to take initiative and manage projects as they arise.",,https://in.indeed.com/rc/clk?jk=34961c463ac4a051&fccid=e5c6fe99946f5a3d&vjs=3
Automotive Instrument Cluster Developer,QuEST Global Engineering,"Thiruvananthapuram, Kerala",2 days ago,"June 16, 2021","Perform software design using UML. Experience with software design using UML 2.0 and relevant tools (Enterprise Architect, Rhapsody). Analyze software requirements for completeness, correctness,…",,https://in.indeed.com/rc/clk?jk=81fba9947206226f&fccid=ad3813e46e9342cd&vjs=3
Node JS Developer,riolabz,"Kochi, Kerala",30+ days ago,"June 16, 2021","Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}. Good understanding of server-side CSS preprocessors {{such as Stylus, Less, etc…","₹35,000 - ₹50,000 a month",https://in.indeed.com/rc/clk?jk=00f0db61152c91c1&fccid=d8cb97c41125947d&vjs=3
ANDROID DEVELOPER,Agileblaze,"Calicut, Kerala",30+ days ago,"June 16, 2021",Develop & support all phases of software development. Should have understanding of Google’s Android design principles. Code/test/troubleshoot programs with suitable hardware & programming.,,https://in.indeed.com/rc/clk?jk=61e4892a334dc8c7&fccid=cd7e203b58803c01&vjs=3
Junior Software Engineer,skilora,"Calicut, Kerala",30+ days ago,"June 16, 2021","Should be good in preparing project design documentation. Should have good knowledge in preparing the database, table design, Dfd, ER diagram, use case diagram, etc.",,https://in.indeed.com/rc/clk?jk=2a29a99c71ea1a78&fccid=f74c40d50fb54046&vjs=3
Software Engineer- Python,Theory Y Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021","Good understanding of server-side templating languages Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 Understanding of accessibility and security compliance…",,https://in.indeed.com/rc/clk?jk=4734fc0559eecaba&fccid=aa2369b582cc76df&vjs=3
Automotive Infotainment System Developer,QuEST Global Engineering,"Thiruvananthapuram, Kerala",4 days ago,"June 16, 2021","Perform software design using UML. Experience with software design using UML 2.0 and relevant tools (Enterprise Architect, Rhapsody). Analyze software requirements for completeness, correctness,…",,https://in.indeed.com/rc/clk?jk=d545aa34ff087393&fccid=ad3813e46e9342cd&vjs=3
"Scrum Master, Software Engineering",Xerox,"Kochi, Kerala",30+ days ago,"June 16, 2021","Experience playing the Scrum Master role for at least one year for a software development team that was diligently applying Scrum principles, practices, and theory.",,https://in.indeed.com/rc/clk?jk=1b3bd0472c03fba6&fccid=fd6a32f24dd4ee0d&vjs=3
Full stack PHP developer,farmers freshzone,"Kochi, Kerala",15 days ago,"June 16, 2021","The candidate must have at least 4 years of experience in PHP based frameworks and a minimum of 2 years of experience in front-end applications. Experience in PHP 5.6 and 7.x, Laravel or Lumen project…",,https://in.indeed.com/company/farmers-freshzone/jobs/Full-Stack-PHP-Developer-c27f38a8b033f805?fccid=42ae7e657f7e40a5&vjs=3
Software Engineer/Senior Software Engineer - Angular,Cabot,"Kochi, Kerala",30+ days ago,"June 16, 2021","Ability to deliver a complete front end application using AngularJS. Ensure the performance, quality, and responsiveness of applications. Building reusable components and front-end libraries for…",,https://in.indeed.com/rc/clk?jk=1c356914f38fc78d&fccid=75929a410097a9db&vjs=3
Go Lang Developer,SR Expert Services,Kerala,15 days ago,"June 16, 2021","Playing a key role in architectural and design decisions, building toward an efficient microservices distributed architecture. A commitment to collaborative problem solving, sophisticated design, and…","₹3,75,000 - ₹10,00,000 a year",https://in.indeed.com/rc/clk?jk=6a114271a79fbbcb&fccid=e2e98e8794337f60&vjs=3
ReactJS Developer,NAICO,"Kochi, Kerala",30+ days ago,"June 16, 2021",Angular 2/4 or any other JavaScript frameworks experience is a plus. UX design knowledge and proficiency with Git. Proven understanding of responsive design solutions. Experience in Node JS is a plus.,,https://in.indeed.com/rc/clk?jk=b901a6f17360a51e&fccid=b1cbcd6adc648987&vjs=3
UI/UX Developer,Armia Systems Inc.,"Kochi, Kerala",30+ days ago,"June 16, 2021",Expertise in visual design skills with sensitivity to user-system interaction Should be familiar with the latest UI trends. Knowledge of source code version control management tools like git is an…,,https://in.indeed.com/rc/clk?jk=f832a8ad768de471&fccid=da046ff4ece0052f&vjs=3
UI Developer,Webandcraft,"Trichur, Kerala",30+ days ago,"June 16, 2021",Solid understanding of UX and UI design with an emphasis on maximizing usability. Demonstrates ability to communicate effectively in both technical and business environments.,,https://in.indeed.com/rc/clk?jk=231819d986a71f63&fccid=6cfff30aabec6bc0&vjs=3
UI Developer 3+ years of experience,Zine Mind,"Kochi, Kerala",30+ days ago,"June 16, 2021",3+ years of experience as a software developer building enterprise-class software products. Experience in developing responsive web applications that work well across the multiple devices.,,https://in.indeed.com/rc/clk?jk=e380e38992f82499&fccid=6fbc0dce27621c6c&vjs=3
PHP Developer,Verbat Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Create dynamic pages using PHP & HTML. Good verbal & written communication in English is a must. Strong knowledge in PHP, MySql, MVC Frameworks(Codeigniter, Laravel).",,https://in.indeed.com/rc/clk?jk=6cc52f721a3f97f7&fccid=6038409a2c8713bc&vjs=3
Frontend Developer,Mocioun TechLabs,"Calicut, Kerala",30+ days ago,"June 16, 2021","Developing new user-facing features using React.js. Building reusable components and front-end libraries for future use. Knowledge of HTML,CSS, RESTful APIs, etc.",,https://in.indeed.com/rc/clk?jk=460d09df6d26b9fb&fccid=7f861f52e97383a2&vjs=3
Web Designer/Developer,Cybolink,"Kochi, Kerala",30+ days ago,"June 16, 2021","Building website pages and deploying page content. Assisting with the implementation, deployment and maintenance efforts. Working with cross-functional team members to develop page layouts/designs and…",,https://in.indeed.com/rc/clk?jk=f93acd3d0f6bf8bb&fccid=65b436181a2f5edd&vjs=3
Software Engineers,Nivid Solutions,"Kochi, Kerala",30+ days ago,"June 16, 2021",Resource will work on business rules and if needed help in general automation/modifications to other components. Must be able to effectively communicate all aspects of a project solution with managers…,,https://in.indeed.com/rc/clk?jk=9bc9f307e2b666c2&fccid=97d036f85c30e8ea&vjs=3
Python Developer - Freelance / Contract Basis,SBSOL Digital,"Kochi, Kerala",30+ days ago,"June 16, 2021",Maintain and run web crawlers full stack applications. Design and build web crawlers to scrape data and URLs. Integrate the data crawled and scraped into our databases.,,https://in.indeed.com/rc/clk?jk=9beff9afa8383519&fccid=58179977b2ff8c3d&vjs=3
Php developer -4M Contract,Talent Basket,"Ernakulam, Kerala",30+ days ago,"June 16, 2021","Facilitate communication between the technical & business Stakeholders as and when required. Create functional specifications, help set client expectations, including scoping out project requirements…","₹20,000 - ₹50,000 a month",https://in.indeed.com/rc/clk?jk=4585c39ef2a3746a&fccid=4cf59f6cd5b3bacd&vjs=3
React Native Developer,IOSS,"Calicut, Kerala",30+ days ago,"June 16, 2021","Experience in Frontend Development with React, React Native, API Integration, React Native Modules, Mobile Development, and Testing through Hybrid JS Frameworks.",,https://in.indeed.com/rc/clk?jk=ca5ee567760e11d1&fccid=180b2b3a62e09267&vjs=3
ASP.NET Developer,Nuvento systems,"Kochi, Kerala",30+ days ago,"June 16, 2021","Dependency injection pattern and IoC containers using at least one of: Autofac, Unity, Ninject, and/or SimpleIoc. Database design including indexes and data integrity.",,https://in.indeed.com/rc/clk?jk=45d95a2aef362cab&fccid=035c4866a9cc42e8&vjs=3
Senior Java Developer,RM Education Solutions India,"Irinchayam B.O, Kerala",30+ days ago,"June 16, 2021","Prior J2EE application development experience on Tomcat, JBoss Application Server or other similar J2EE application server. 6 years of experience in Web development using Java, JSP, JavaScript, JQuery…",,https://in.indeed.com/rc/clk?jk=be716d9ac124864c&fccid=dc83abb62640bbc8&vjs=3
Dot NET Developer,D-inventions Technologies,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Dot NET Developer (2 Years to 4 year experience). NET Developer with 2 Years to 4 year experience. Skills needed asp .net, webforms sql server html, css & jquery Job Type: Full-time Expected Start…",,https://in.indeed.com/rc/clk?jk=b8c0dc3791d52316&fccid=1db335ffe9633221&vjs=3
WORDPRESS BACKEND DEVELOPER,Cordiace Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021",He/she needs to work on technical innovation and should have both theoretical and hands-on technical knowledge of various business problems or projects. A minimum of 3 years industry experience.,,https://in.indeed.com/rc/clk?jk=a866f30d6c39c984&fccid=11356253ad0aa644&vjs=3
Software Engineer – Angular,ThinkPalm Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021",3-5 Years of experience in developing web-based applications using Angular. Proven experience implementing front-end/back-end JavaScript applications. Experience in Angular 5 and above.,,https://in.indeed.com/rc/clk?jk=e6a9f70e56b2ec06&fccid=121dbd0f35f85fab&vjs=3
Software Engineer,hash root,"Kochi, Kerala",30+ days ago,"June 16, 2021",Collaborate with other team members and stakeholders. Build reusable code and libraries for future use. A thorough understanding of core Javascript language and hands-on with AngularJS/VueJS/ReactJS…,,https://in.indeed.com/rc/clk?jk=db54a3cbe95301b6&fccid=fc5d464c9c32c68f&vjs=3
PHP Developer,Cedar Software Technologies India,"Kochi, Kerala",30+ days ago,"June 16, 2021","Must have excellent communication skills. Good knowledge in Core PHP and MySQL. Strong in CSS, JavaScript, Ajax, jQuery and JSON. Good knowledge in OOPS concept.",,https://in.indeed.com/rc/clk?jk=8078341a53b21582&fccid=e3c1040c02cca1b0&vjs=3
Junior JS/React Developer,Mocioun TechLabs,"Calicut, Kerala",30+ days ago,"June 16, 2021","Developing new user-facing features using React.js. You will ensure that these components and the overall application are robust and easy to maintain. Write well designed, testable and efficient code.",,https://in.indeed.com/rc/clk?jk=9aec53bd809955d7&fccid=7f861f52e97383a2&vjs=3
Senior Software Engineer - C#/WPF,QuEST Global Engineering,"Thiruvananthapuram, Kerala",1 day ago,"June 16, 2021",Senior Developer with minimum 4-6 years of experience in developing C#/WPF desktop applications in Windows. Large scale development experience in engineering softwares. B.E/B.Tech/BS-Computer Science.,,https://in.indeed.com/rc/clk?jk=64084636f1646062&fccid=ad3813e46e9342cd&vjs=3
WORDPRESS DEVELOPER,WAHY LAB SOLUTIONS,"Ernakulam, Kerala",30+ days ago,"June 16, 2021",The candidate must have knowledge of working on WordPress themes and plugin development project. Develop and deploy new features to facilitate related procedures and tools if necessary.,,https://in.indeed.com/rc/clk?jk=a62e0129f4e64df3&fccid=fbea9d9e718baeb5&vjs=3
KANZI HMI Developer for Automotive,QuEST Global Engineering,"Thiruvananthapuram, Kerala",10 days ago,"June 16, 2021","Perform software design using UML. Experience with software design using UML 2.0 and relevant tools (Enterprise Architect, Rhapsody). Analyze software requirements for completeness, correctness,…",,https://in.indeed.com/rc/clk?jk=5c8b1e36529a00c0&fccid=ad3813e46e9342cd&vjs=3
Software Engineer - API,GadgEon,"Kochi, Kerala",7 days ago,"June 16, 2021",Demonstrate the ability to develop efficient and high-quality software. Knowledge of software configuration management and change management practices. Net Core and web standards.,,https://in.indeed.com/rc/clk?jk=eb7cfbe77694696d&fccid=b4442ae3d1e71d30&vjs=3
Full Stack Developer,MWT Technologies Pvt. Ltd.,"Kochi, Kerala",30+ days ago,"June 16, 2021",3 to 4 years of experience in PHP application development using Laravel or any other framework. Knowledge and experience in developing software using agile methodologies.,,https://in.indeed.com/rc/clk?jk=d2e6a00a98ce194b&fccid=c094e3613e0a870d&vjs=3
"Engineer I, Software Engineering (Software Engineer - Test)",Xerox,"Kochi, Kerala",30+ days ago,"June 16, 2021","Ability to identify risks associated with business processes, operations, information security programs and technology projects. Supporting the Agile and Scrum methodologies utilized by the Platform…",,https://in.indeed.com/rc/clk?jk=09334593189fa1c1&fccid=fd6a32f24dd4ee0d&vjs=3
Senior PHP Developer,TheStack,"Kochi, Kerala",30+ days ago,"June 16, 2021","Strong experience in developing complex applications using PHP MVC frameworks and OOPS Concepts. Code, test and document new applications as well as changes to existing system functionality and ensure…",,https://in.indeed.com/rc/clk?jk=3c1eafb1aa39da44&fccid=4c3a064641fe1907&vjs=3
PHP Developer,WAHY LAB SOLUTIONS,"Ernakulam, Kerala",30+ days ago,"June 16, 2021","Develop and deploy new features to facilitate related procedures and tools if necessary. 1-3 years of working experience in PHP development. Troubleshoot, test and maintain the core product software…",,https://in.indeed.com/rc/clk?jk=366b32afb8fbaff2&fccid=fbea9d9e718baeb5&vjs=3
Java Developer,GadgEon,"Kochi, Kerala",7 days ago,"June 16, 2021","Good exposure to web based application and database design. Design and deploy applications using Kubernetes/Docker and cloud services - Azure, AWS, GCP, etc.",,https://in.indeed.com/rc/clk?jk=8c9638b197183592&fccid=b4442ae3d1e71d30&vjs=3
PHP Developer,Nivid Solutions,"Kochi, Kerala",30+ days ago,"June 16, 2021","Excellent object-oriented design and programming skills, including strong working knowledge and experience in using design patterns. Full exposure to and understanding of all aspects of the software…",,https://in.indeed.com/rc/clk?jk=e41e84591c56a1cf&fccid=97d036f85c30e8ea&vjs=3
Front End Developer,skilora,"Calicut, Kerala",30+ days ago,"June 16, 2021",You will be in charge of developing the front end for all our products using the above-mentioned libraries. Experience: 1 - 4 years in Front End Developer( Required ).,,https://in.indeed.com/rc/clk?jk=41f2e929c8f9a631&fccid=f74c40d50fb54046&vjs=3
Web Developer - PHP,GI Group Holdings,"Kochi, Kerala",30+ days ago,"June 16, 2021","Work closely with our design teams to create engaging and user experience focused web applications. Commitment to collaborative problem solving, sophisticated design, and quality product is important.",,https://in.indeed.com/rc/clk?jk=03dcf67bc552ed88&fccid=6c821ec8da2e4848&vjs=3
Magento Developer,Webandcraft,"Trichur, Kerala",30+ days ago,"June 16, 2021","Expertise in developing, debugging, and optimizing complex PHP web applications. Experience with Magento Enterprise framework and ability to customize default architecture.",,https://in.indeed.com/rc/clk?jk=6c8404d9a9f29a35&fccid=6cfff30aabec6bc0&vjs=3
Sr BPM Developer,UST Global Singapore Pte Limited,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","Should be able to lead workshops with client business teams to design and automate business processes. 5 years of experience modeling processes using IBM BPM Process Designer, implementing UCAs, Ajax,…",,https://in.indeed.com/rc/clk?jk=3ced5a2123f515d0&fccid=810178099fb1fcbc&vjs=3
WordPress/WooCommerce Developer - Immediate Opening,eSeller Technologies,"Thiruvananthapuram, Kerala",24 days ago,"June 16, 2021",Experience in developing and customizing web applications using Wordpress and Woocommerce (MUST). Develop and test web applications and services using PHP frameworks (added advantage).,,https://in.indeed.com/rc/clk?jk=0e786bc4027c30ae&fccid=abd856b9561c43ce&vjs=3
Jr. Magento Frontend Developer,Ceymox Technologies Private Limited,"Ernakulam, Kerala",30+ days ago,"June 16, 2021","Experience developing high-level designs into responsive markup. Extensive knowledge of semantic, cross-browser HTML and CSS. Experience with CSS pre/post processors.",,https://in.indeed.com/rc/clk?jk=d46e29d22e9c7f0f&fccid=09da73be03b440de&vjs=3
FE Developer 3+ years of experience,Zine Mind,"Kochi, Kerala",30+ days ago,"June 16, 2021","Looking for a seasoned Front-end developer with a minimum of 3 years of experience. Experience with troubleshooting and debugging tools such as browser DevTools, etc. Proficiency in HTML and CSS.",,https://in.indeed.com/rc/clk?jk=28a00f37b401b5a6&fccid=6fbc0dce27621c6c&vjs=3
Senior Software Engineer (Dotnet),RM Education Solutions India,"Irinchayam B.O, Kerala",30+ days ago,"June 16, 2021",Verification of code base and ensure the quality of code. Should have good experience in debugging .net web applications. Should have at least 1 years of experience in ASP.net MVC applications.,,https://in.indeed.com/rc/clk?jk=1ca0248efd3e18b8&fccid=dc83abb62640bbc8&vjs=3
DOT NET DEVELOPER,Aibel Advertising and Media Solutions,"Kochi, Kerala",30+ days ago,"June 16, 2021","NET based web applications for internal and client facing applications. Participate in the full software development life cycle including analysis, design, implementation, and testing.",,https://in.indeed.com/rc/clk?jk=f6eb5fe69af2d354&fccid=1e33089e9bd3ca22&vjs=3
HTML Developer,skilora,"Calicut, Kerala",30+ days ago,"June 16, 2021","Excellent understanding of Jquery, JavaScript standards and ability to produce front-end code independently. Experience: 0 - 3 years in HTML Developer( Required ).",,https://in.indeed.com/rc/clk?jk=61d39ef3ae5e7147&fccid=f74c40d50fb54046&vjs=3
